Index,L1,L2
969,B cell,Memory B
970,Progenitor cells,Prog_RBC
971,Mono/DC,CD14 Mono
972,NK,NK
973,Mono/DC,CD14 Mono
974,B cell,Naive B
975,T cell,CD4 Naive
976,Progenitor cells,Prog_B 2
977,Progenitor cells,Prog_DC
978,Progenitor cells,GMP
979,T cell,CD4 Naive
980,T cell,CD8 Naive
981,T cell,CD4 Naive
982,T cell,CD4 Memory
983,T cell,CD4 Naive
984,Mono/DC,CD16 Mono
985,Mono/DC,CD14 Mono
986,T cell,CD4 Memory
987,T cell,CD8 Naive
988,T cell,gdT
989,T cell,CD8 Naive
990,NK,NK
991,Mono/DC,CD14 Mono
992,T cell,CD4 Naive
993,T cell,CD8 Naive
994,Mono/DC,CD14 Mono
995,T cell,CD4 Naive
996,Mono/DC,CD14 Mono
997,T cell,CD8 Memory_2
998,T cell,CD4 Memory
999,T cell,CD4 Memory
1000,NK,NK
1001,Progenitor cells,Prog_RBC
1002,T cell,CD8 Naive
1003,Progenitor cells,GMP
1004,Mono/DC,CD14 Mono
1005,Progenitor cells,GMP
1006,B cell,Memory B
1007,Mono/DC,CD16 Mono
1008,B cell,Memory B
1009,T cell,CD8 Naive
1010,NK,NK
1011,T cell,CD4 Naive
1012,T cell,CD4 Memory
1013,Progenitor cells,GMP
1014,T cell,CD8 Naive
1015,Mono/DC,CD14 Mono
1016,T cell,gdT
1017,B cell,Memory B
1018,Progenitor cells,Prog_RBC
1019,T cell,CD4 Naive
1020,T cell,CD8 Memory_2
1021,Mono/DC,CD14 Mono
1022,Mono/DC,CD14 Mono
1023,T cell,CD4 Naive
1024,Mono/DC,CD14 Mono
1025,Progenitor cells,Prog_RBC
1026,T cell,CD8 Naive
1027,T cell,CD4 Memory
1028,B cell,Naive B
1029,Mono/DC,CD14 Mono
1030,B cell,Naive B
1031,Mono/DC,CD14 Mono
1032,Progenitor cells,GMP
1033,Mono/DC,CD14 Mono
1034,Progenitor cells,Prog_DC
1035,T cell,CD4 Memory
1036,T cell,CD8 Naive
1037,T cell,CD4 Naive
1038,B cell,Memory B
1039,Mono/DC,CD14 Mono
1040,Mono/DC,CD14 Mono
1041,T cell,MAIT
1042,T cell,CD4 Naive
1043,T cell,CD8 Naive
1044,Mono/DC,CD14 Mono
1045,NK,NK
1046,T cell,gdT
1047,T cell,CD4 Memory
1048,Mono/DC,cDC2
1049,T cell,CD4 Memory
1050,Mono/DC,CD14 Mono
1051,T cell,CD4 Naive
1052,Mono/DC,CD14 Mono
1053,Mono/DC,CD14 Mono
1054,Mono/DC,CD14 Mono
1055,T cell,CD4 Memory
1056,T cell,CD8 Naive
1057,B cell,Naive B
1058,T cell,CD4 Memory
1059,Mono/DC,CD14 Mono
1060,Mono/DC,CD14 Mono
1061,T cell,CD4 Memory
1062,Mono/DC,CD14 Mono
1063,T cell,CD8 Effector_1
1064,Progenitor cells,LMPP
1065,Mono/DC,CD14 Mono
1066,T cell,CD4 Naive
1067,T cell,CD4 Memory
1068,T cell,CD4 Memory
1069,T cell,CD4 Memory
1070,Progenitor cells,Prog_RBC
1071,B cell,Memory B
1072,Mono/DC,CD14 Mono
1073,T cell,CD4 Naive
1074,Progenitor cells,HSC
1075,T cell,CD4 Naive
1076,Progenitor cells,LMPP
1077,T cell,CD8 Naive
1078,Mono/DC,CD14 Mono
1079,B cell,Naive B
1080,B cell,Memory B
1081,Mono/DC,CD14 Mono
1082,T cell,CD4 Naive
1083,Progenitor cells,Prog_DC
1084,Mono/DC,CD14 Mono
1085,Mono/DC,CD14 Mono
1086,Mono/DC,CD14 Mono
1087,NK,NK
1088,NK,NK
1089,Mono/DC,CD14 Mono
1090,Mono/DC,CD14 Mono
1091,T cell,CD4 Memory
1092,Mono/DC,cDC2
1093,Progenitor cells,Prog_DC
1094,T cell,CD4 Naive
1095,T cell,CD8 Effector_2
1096,Mono/DC,CD14 Mono
1097,NK,NK
1098,Mono/DC,CD16 Mono
1099,T cell,CD4 Naive
1100,T cell,CD4 Naive
1101,Mono/DC,cDC2
1102,T cell,MAIT
1103,T cell,CD8 Memory_2
1104,T cell,MAIT
1105,T cell,CD8 Memory_2
1106,T cell,CD8 Naive
1107,Progenitor cells,HSC
1108,Mono/DC,CD14 Mono
1109,B cell,Naive B
1110,Progenitor cells,Prog_RBC
1111,B cell,Naive B
1112,T cell,CD4 Naive
1113,Mono/DC,CD14 Mono
1114,T cell,CD8 Naive
1115,T cell,CD4 Memory
1116,Mono/DC,CD14 Mono
1117,T cell,CD8 Naive
1118,T cell,CD8 Naive
1119,T cell,CD4 Naive
1120,Mono/DC,CD14 Mono
1121,Progenitor cells,Prog_RBC
1122,Progenitor cells,GMP
1123,Mono/DC,CD14 Mono
1124,Mono/DC,CD14 Mono
1125,Mono/DC,CD14 Mono
1126,Mono/DC,CD14 Mono
1127,B cell,Naive B
1128,T cell,Treg
1129,Mono/DC,CD14 Mono
1130,Mono/DC,CD14 Mono
1131,T cell,CD8 Effector_2
1132,Mono/DC,CD14 Mono
1133,Mono/DC,CD14 Mono
1134,Mono/DC,CD14 Mono
1135,T cell,Treg
1136,Mono/DC,CD14 Mono
1137,Mono/DC,CD14 Mono
1138,Mono/DC,CD14 Mono
1139,T cell,CD4 Memory
1140,Progenitor cells,Prog_RBC
1141,T cell,CD8 Naive
1142,T cell,CD4 Naive
1143,NK,NK
1144,Mono/DC,CD14 Mono
1145,T cell,CD4 Naive
1146,T cell,CD4 Naive
1147,Mono/DC,CD14 Mono
1148,Mono/DC,CD14 Mono
1149,T cell,CD8 Naive
1150,B cell,Memory B
1151,T cell,CD8 Naive
1152,B cell,Memory B
1153,Mono/DC,cDC2
1154,Progenitor cells,Prog_RBC
1155,B cell,Naive B
1156,Progenitor cells,Prog_DC
1157,Progenitor cells,Prog_RBC
1158,NK,NK
1159,B cell,Naive B
1160,B cell,Memory B
1161,B cell,Naive B
1162,T cell,CD8 Naive
1163,Mono/DC,CD16 Mono
1164,T cell,CD4 Naive
1165,Mono/DC,CD14 Mono
1166,T cell,CD4 Naive
1167,T cell,MAIT
1168,B cell,Naive B
1169,T cell,CD4 Naive
1170,T cell,CD4 Naive
1171,T cell,CD4 Naive
1172,T cell,CD8 Naive
1173,B cell,Naive B
1174,B cell,Memory B
1175,Mono/DC,cDC2
1176,B cell,Naive B
1177,T cell,CD8 Naive
1178,Mono/DC,CD14 Mono
1179,T cell,CD8 Memory_1
1180,T cell,CD4 Naive
1181,Progenitor cells,Prog_RBC
1182,Mono/DC,CD14 Mono
1183,Mono/DC,CD14 Mono
1184,Mono/DC,CD14 Mono
1185,Progenitor cells,Prog_Mk
1186,T cell,CD4 Naive
1187,T cell,MAIT
1188,T cell,CD8 Naive
1189,Mono/DC,CD14 Mono
1190,Mono/DC,CD14 Mono
1191,T cell,CD4 Memory
1192,T cell,CD4 Memory
1193,T cell,CD4 Memory
1194,Progenitor cells,Prog_B 2
1195,Mono/DC,CD14 Mono
1196,T cell,MAIT
1197,Progenitor cells,GMP
1198,T cell,CD8 Effector_2
1199,Progenitor cells,GMP
1200,Mono/DC,CD14 Mono
1201,T cell,CD4 Naive
1202,B cell,Naive B
1203,B cell,Memory B
1204,Mono/DC,CD14 Mono
1205,B cell,Naive B
1206,T cell,MAIT
1207,T cell,CD4 Memory
1208,T cell,CD4 Naive
1209,Progenitor cells,GMP
1210,T cell,CD8 Naive
1211,Mono/DC,pDC
1212,T cell,CD4 Naive
1213,Mono/DC,CD14 Mono
1214,Mono/DC,CD16 Mono
1215,Mono/DC,CD14 Mono
1216,T cell,CD4 Naive
1217,T cell,CD8 Memory_2
1218,T cell,CD4 Naive
1219,T cell,CD4 Naive
1220,T cell,CD4 Memory
1221,Mono/DC,CD14 Mono
1222,Mono/DC,CD14 Mono
1223,T cell,CD4 Naive
1224,T cell,CD4 Memory
1225,T cell,CD8 Naive
1226,Mono/DC,CD14 Mono
1227,T cell,CD4 Naive
1228,T cell,CD4 Memory
1229,B cell,Memory B
1230,B cell,Naive B
1231,T cell,CD4 Naive
1232,Mono/DC,CD14 Mono
1233,NK,NK
1234,B cell,Naive B
1235,T cell,CD4 Naive
1236,T cell,CD8 Memory_1
1237,T cell,CD8 Naive
1238,T cell,CD4 Naive
1239,T cell,CD4 Memory
1240,T cell,CD8 Naive
1241,T cell,CD4 Naive
1242,T cell,CD8 Naive
1243,T cell,CD8 Naive
1244,Mono/DC,CD16 Mono
1245,T cell,CD8 Memory_2
1246,Progenitor cells,Prog_RBC
1247,T cell,CD8 Naive
1248,T cell,CD4 Naive
1249,NK,NK
1250,T cell,CD4 Naive
1251,T cell,CD4 Naive
1252,T cell,CD8 Effector_1
1253,T cell,CD4 Memory
1254,T cell,CD8 Effector_1
1255,Mono/DC,CD14 Mono
1256,Mono/DC,CD14 Mono
1257,T cell,CD8 Naive
1258,B cell,Naive B
1259,T cell,CD4 Naive
1260,Mono/DC,CD14 Mono
1261,B cell,Naive B
1262,T cell,CD4 Naive
1263,T cell,MAIT
1264,Mono/DC,CD16 Mono
1265,T cell,CD4 Memory
1266,T cell,CD8 Naive
1267,B cell,Memory B
1268,T cell,CD4 Memory
1269,Progenitor cells,Prog_DC
1270,B cell,Naive B
1271,Progenitor cells,HSC
1272,Progenitor cells,Prog_RBC
1273,T cell,CD4 Naive
1274,T cell,CD4 Naive
1275,T cell,CD4 Naive
1276,NK,NK
1277,T cell,CD4 Memory
1278,T cell,gdT
1279,Mono/DC,CD14 Mono
1280,T cell,CD8 Naive
1281,T cell,CD4 Naive
1282,T cell,CD4 Naive
1283,T cell,CD4 Naive
1284,T cell,CD4 Naive
1285,Mono/DC,pDC
1286,T cell,CD8 Naive
1287,T cell,CD4 Memory
1288,T cell,CD8 Effector_2
1289,Mono/DC,CD14 Mono
1290,T cell,CD8 Naive
1291,Progenitor cells,Prog_RBC
1292,Mono/DC,cDC2
1293,T cell,CD8 Naive
1294,Mono/DC,CD14 Mono
1295,NK,NK
1296,Mono/DC,CD14 Mono
1297,Mono/DC,CD14 Mono
1298,T cell,CD8 Naive
1299,T cell,CD4 Memory
1300,Progenitor cells,LMPP
1301,Mono/DC,cDC2
1302,T cell,CD8 Naive
1303,Mono/DC,CD14 Mono
1304,Progenitor cells,Prog_DC
1305,Mono/DC,CD14 Mono
1306,T cell,CD4 Naive
1307,T cell,CD8 Effector_1
1308,Mono/DC,CD14 Mono
1309,T cell,CD8 Naive
1310,Mono/DC,cDC2
1311,T cell,CD8 Naive
1312,Progenitor cells,Prog_RBC
1313,Mono/DC,CD14 Mono
1314,T cell,CD4 Memory
1315,B cell,Naive B
1316,Mono/DC,CD14 Mono
1317,B cell,Naive B
1318,Mono/DC,CD14 Mono
1319,Progenitor cells,Prog_RBC
1320,T cell,CD4 Memory
1321,Mono/DC,CD14 Mono
1322,B cell,Naive B
1323,T cell,CD8 Naive
1324,Mono/DC,CD14 Mono
1325,Progenitor cells,LMPP
1326,Mono/DC,CD14 Mono
1327,T cell,CD4 Memory
1328,Mono/DC,CD14 Mono
1329,T cell,CD4 Naive
1330,NK,NK
1331,Mono/DC,pDC
1332,T cell,CD8 Naive
1333,T cell,CD4 Memory
1334,T cell,CD4 Memory
1335,T cell,CD4 Memory
1336,NK,NK
1337,T cell,gdT
1338,Mono/DC,CD14 Mono
1339,Mono/DC,CD14 Mono
1340,T cell,CD4 Naive
1341,B cell,Memory B
1342,Mono/DC,CD14 Mono
1343,Mono/DC,CD14 Mono
1344,Mono/DC,CD14 Mono
1345,Mono/DC,CD14 Mono
1346,T cell,CD4 Naive
1347,T cell,CD8 Memory_1
1348,T cell,CD4 Naive
1349,T cell,CD8 Memory_2
1350,T cell,CD4 Naive
1351,B cell,Memory B
1352,T cell,Treg
1353,B cell,Memory B
1354,T cell,CD8 Naive
1355,T cell,CD4 Naive
1356,B cell,Naive B
1357,T cell,CD4 Naive
1358,T cell,CD8 Naive
1359,T cell,CD8 Naive
1360,Mono/DC,cDC2
1361,Progenitor cells,HSC
1362,Mono/DC,CD14 Mono
1363,Mono/DC,CD14 Mono
1364,T cell,Treg
1365,Progenitor cells,GMP
1366,NK,NK
1367,Mono/DC,CD14 Mono
1368,B cell,Naive B
1369,T cell,CD8 Naive
1370,T cell,CD8 Naive
1371,B cell,Naive B
1372,T cell,CD4 Memory
1373,B cell,Memory B
1374,Progenitor cells,Prog_DC
1375,Progenitor cells,Prog_RBC
1376,T cell,CD4 Naive
1377,T cell,Treg
1378,Mono/DC,CD16 Mono
1379,T cell,CD4 Naive
1380,Mono/DC,CD14 Mono
1381,T cell,CD4 Memory
1382,Progenitor cells,Prog_DC
1383,T cell,CD4 Memory
1384,B cell,Naive B
1385,B cell,Memory B
1386,T cell,CD4 Naive
1387,Mono/DC,CD14 Mono
1388,T cell,Treg
1389,Progenitor cells,Prog_B 1
1390,Mono/DC,CD14 Mono
1391,Mono/DC,CD14 Mono
1392,T cell,CD8 Naive
1393,T cell,CD8 Naive
1394,Mono/DC,CD14 Mono
1395,T cell,CD4 Naive
1396,T cell,CD4 Naive
1397,T cell,CD4 Naive
1398,T cell,CD8 Naive
1399,Progenitor cells,GMP
1400,Mono/DC,CD14 Mono
1401,Mono/DC,CD14 Mono
1402,T cell,CD8 Memory_1
1403,Mono/DC,CD16 Mono
1404,Mono/DC,CD14 Mono
1405,T cell,CD8 Naive
1406,Mono/DC,cDC2
1407,T cell,CD4 Memory
1408,Mono/DC,CD14 Mono
1409,Mono/DC,CD14 Mono
1410,NK,NK
1411,B cell,Naive B
1412,Mono/DC,cDC2
1413,T cell,CD4 Memory
1414,Progenitor cells,HSC
1415,B cell,Naive B
1416,NK,NK
1417,T cell,CD8 Effector_1
1418,Progenitor cells,Prog_RBC
1419,Mono/DC,CD14 Mono
1420,Mono/DC,CD14 Mono
1421,T cell,MAIT
1422,Progenitor cells,Prog_RBC
1423,T cell,CD4 Naive
1424,Progenitor cells,Prog_DC
1425,Mono/DC,CD14 Mono
1426,T cell,CD8 Naive
1427,T cell,CD4 Memory
1428,T cell,CD8 Effector_1
1429,T cell,CD4 Naive
1430,T cell,CD4 Naive
1431,Mono/DC,CD14 Mono
1432,T cell,CD4 Memory
1433,T cell,CD4 Memory
1434,T cell,CD4 Memory
1435,Mono/DC,CD14 Mono
1436,T cell,CD4 Memory
1437,T cell,CD4 Memory
1438,Mono/DC,CD14 Mono
1439,Progenitor cells,GMP
1440,B cell,Naive B
1441,T cell,CD4 Naive
1442,Mono/DC,CD14 Mono
1443,Mono/DC,CD14 Mono
1444,Mono/DC,CD16 Mono
1445,T cell,CD4 Naive
1446,T cell,CD4 Naive
1447,Mono/DC,CD14 Mono
1448,B cell,Naive B
1449,T cell,CD4 Naive
1450,T cell,CD4 Naive
1451,B cell,Memory B
1452,Progenitor cells,HSC
1453,T cell,CD4 Naive
1454,T cell,CD4 Memory
1455,T cell,CD4 Naive
1456,T cell,CD4 Memory
1457,Mono/DC,CD14 Mono
1458,T cell,CD8 Naive
1459,T cell,CD4 Memory
1460,T cell,CD4 Naive
1461,B cell,Memory B
1462,Mono/DC,CD14 Mono
1463,Mono/DC,CD14 Mono
1464,T cell,CD4 Naive
1465,T cell,CD8 Naive
1466,Progenitor cells,Prog_RBC
1467,T cell,Treg
1468,T cell,CD8 Effector_2
1469,Progenitor cells,GMP
1470,T cell,CD8 Naive
1471,T cell,CD8 Naive
1472,T cell,CD4 Naive
1473,T cell,CD4 Naive
1474,T cell,CD4 Naive
1475,Mono/DC,CD14 Mono
1476,T cell,CD8 Memory_2
1477,T cell,CD4 Memory
1478,T cell,CD8 Effector_1
1479,Progenitor cells,GMP
1480,T cell,CD4 Naive
1481,T cell,MAIT
1482,Progenitor cells,GMP
1483,T cell,CD4 Naive
1484,Mono/DC,CD14 Mono
1485,T cell,CD4 Naive
1486,T cell,CD8 Naive
1487,B cell,Memory B
1488,Mono/DC,CD14 Mono
1489,T cell,CD4 Memory
1490,T cell,CD8 Naive
1491,Mono/DC,CD14 Mono
1492,T cell,CD4 Memory
1493,Mono/DC,CD14 Mono
1494,T cell,CD4 Memory
1495,Mono/DC,CD14 Mono
1496,T cell,CD8 Naive
1497,Mono/DC,CD14 Mono
1498,T cell,gdT
1499,T cell,CD8 Effector_1
1500,T cell,CD4 Naive
1501,T cell,CD8 Naive
1502,T cell,CD4 Naive
1503,T cell,CD4 Naive
1504,T cell,CD4 Naive
1505,B cell,Naive B
1506,T cell,CD8 Naive
1507,T cell,CD4 Memory
1508,T cell,CD8 Naive
1509,Mono/DC,CD14 Mono
1510,T cell,CD4 Naive
1511,B cell,Naive B
1512,Mono/DC,CD14 Mono
1513,T cell,CD8 Naive
1514,T cell,CD4 Naive
1515,B cell,Memory B
1516,Mono/DC,CD14 Mono
1517,T cell,CD4 Memory
1518,Mono/DC,CD14 Mono
1519,T cell,CD4 Memory
1520,T cell,CD8 Effector_1
1521,T cell,CD8 Naive
1522,Mono/DC,CD14 Mono
1523,T cell,CD8 Naive
1524,T cell,CD8 Memory_2
1525,T cell,CD4 Naive
1526,Progenitor cells,GMP
1527,T cell,CD4 Naive
1528,T cell,CD4 Memory
1529,B cell,Naive B
1530,Progenitor cells,GMP
1531,Mono/DC,CD16 Mono
1532,T cell,CD8 Naive
1533,T cell,CD4 Memory
1534,NK,NK
1535,Mono/DC,CD14 Mono
1536,B cell,Naive B
1537,Progenitor cells,Prog_B 2
1538,T cell,CD4 Naive
1539,Progenitor cells,Prog_Mk
1540,T cell,gdT
1541,B cell,Memory B
1542,Mono/DC,CD14 Mono
1543,T cell,CD4 Naive
1544,T cell,CD8 Naive
1545,T cell,CD8 Naive
1546,Mono/DC,CD16 Mono
1547,T cell,CD8 Naive
1548,T cell,CD4 Naive
1549,B cell,Memory B
1550,Mono/DC,CD14 Mono
1551,Mono/DC,CD14 Mono
1552,Progenitor cells,GMP
1553,T cell,CD8 Naive
1554,Mono/DC,CD14 Mono
1555,T cell,CD8 Naive
1556,T cell,CD8 Effector_2
1557,Mono/DC,CD14 Mono
1558,Mono/DC,CD14 Mono
1559,T cell,CD4 Memory
1560,T cell,CD8 Naive
1561,T cell,CD8 Naive
1562,T cell,CD8 Naive
1563,Mono/DC,CD14 Mono
1564,Mono/DC,CD14 Mono
1565,Mono/DC,CD14 Mono
1566,T cell,MAIT
1567,T cell,CD4 Memory
1568,Progenitor cells,GMP
1569,T cell,gdT
1570,T cell,CD4 Naive
1571,T cell,CD8 Naive
1572,T cell,CD4 Naive
1573,B cell,Memory B
1574,T cell,CD4 Naive
1575,B cell,Memory B
1576,Progenitor cells,GMP
1577,T cell,CD4 Naive
1578,Mono/DC,CD14 Mono
1579,T cell,CD8 Memory_2
1580,Progenitor cells,Prog_DC
1581,Mono/DC,CD16 Mono
1582,T cell,CD4 Memory
1583,B cell,Memory B
1584,B cell,Memory B
1585,T cell,CD4 Memory
1586,T cell,CD8 Memory_1
1587,Mono/DC,CD14 Mono
1588,T cell,CD4 Naive
1589,Mono/DC,CD14 Mono
1590,Mono/DC,CD14 Mono
1591,T cell,CD4 Memory
1592,Mono/DC,CD14 Mono
1593,Mono/DC,CD14 Mono
1594,Progenitor cells,Prog_RBC
1595,B cell,Memory B
1596,Progenitor cells,GMP
1597,Progenitor cells,GMP
1598,Mono/DC,CD14 Mono
1599,Mono/DC,CD16 Mono
1600,Mono/DC,CD14 Mono
1601,Mono/DC,CD14 Mono
1602,T cell,CD8 Naive
1603,T cell,CD4 Naive
1604,T cell,CD8 Effector_1
1605,NK,NK
1606,NK,NK
1607,Mono/DC,CD14 Mono
1608,T cell,CD4 Naive
1609,Mono/DC,CD16 Mono
1610,T cell,CD4 Naive
1611,B cell,Memory B
1612,T cell,CD4 Naive
1613,Mono/DC,CD14 Mono
1614,B cell,Plasmablast
1615,T cell,CD8 Memory_2
1616,T cell,CD8 Effector_2
1617,Mono/DC,CD14 Mono
1618,NK,NK
1619,Mono/DC,pDC
1620,B cell,Memory B
1621,T cell,CD4 Naive
1622,T cell,CD4 Memory
1623,Mono/DC,CD14 Mono
1624,T cell,CD4 Naive
1625,NK,NK
1626,Mono/DC,CD16 Mono
1627,T cell,CD4 Naive
1628,T cell,CD4 Naive
1629,Progenitor cells,GMP
1630,Progenitor cells,Prog_B 1
1631,T cell,CD8 Effector_2
1632,T cell,CD8 Naive
1633,T cell,CD4 Memory
1634,Progenitor cells,Prog_RBC
1635,Mono/DC,cDC2
1636,Mono/DC,CD14 Mono
1637,Mono/DC,CD14 Mono
1638,T cell,CD8 Effector_2
1639,T cell,CD4 Memory
1640,B cell,Naive B
1641,Mono/DC,CD14 Mono
1642,T cell,CD8 Effector_1
1643,B cell,Naive B
1644,T cell,CD4 Naive
1645,Mono/DC,CD14 Mono
1646,B cell,Naive B
1647,T cell,CD8 Naive
1648,T cell,CD8 Naive
1649,T cell,Treg
1650,Progenitor cells,GMP
1651,Mono/DC,CD14 Mono
1652,Mono/DC,CD14 Mono
1653,Mono/DC,CD14 Mono
1654,Progenitor cells,Prog_RBC
1655,Progenitor cells,Prog_DC
1656,T cell,CD4 Naive
1657,Mono/DC,CD14 Mono
1658,T cell,CD4 Naive
1659,B cell,Plasmablast
1660,T cell,CD4 Naive
1661,B cell,Memory B
1662,T cell,CD4 Naive
1663,T cell,CD4 Memory
1664,T cell,CD4 Naive
1665,B cell,Naive B
1666,T cell,CD4 Naive
1667,Mono/DC,CD14 Mono
1668,T cell,CD4 Naive
1669,T cell,CD8 Naive
1670,Mono/DC,CD14 Mono
1671,T cell,CD4 Naive
1672,Mono/DC,CD14 Mono
1673,Mono/DC,CD14 Mono
1674,B cell,Naive B
1675,Mono/DC,CD14 Mono
1676,Progenitor cells,Prog_RBC
1677,Mono/DC,CD14 Mono
1678,T cell,CD4 Naive
1679,T cell,CD8 Memory_1
1680,T cell,CD4 Naive
1681,T cell,CD8 Naive
1682,Mono/DC,CD14 Mono
1683,Mono/DC,CD14 Mono
1684,T cell,MAIT
1685,T cell,CD4 Naive
1686,B cell,Naive B
1687,Mono/DC,CD14 Mono
1688,Mono/DC,CD14 Mono
1689,T cell,CD4 Naive
1690,Mono/DC,CD14 Mono
1691,T cell,CD4 Naive
1692,T cell,CD4 Naive
1693,Mono/DC,CD14 Mono
1694,T cell,MAIT
1695,Mono/DC,CD14 Mono
1696,T cell,CD8 Naive
1697,T cell,CD4 Memory
1698,T cell,CD8 Naive
1699,T cell,CD4 Memory
1700,Mono/DC,CD14 Mono
1701,Mono/DC,CD14 Mono
1702,B cell,Memory B
1703,T cell,CD8 Naive
1704,T cell,CD4 Memory
1705,Mono/DC,CD14 Mono
1706,Progenitor cells,Prog_RBC
1707,Mono/DC,CD14 Mono
1708,T cell,CD4 Naive
1709,NK,NK
1710,T cell,CD8 Memory_2
1711,Progenitor cells,GMP
1712,Progenitor cells,LMPP
1713,B cell,Plasmablast
1714,T cell,CD4 Memory
1715,Progenitor cells,GMP
1716,Mono/DC,pDC
1717,T cell,CD8 Naive
1718,T cell,CD4 Naive
1719,Mono/DC,CD14 Mono
1720,T cell,CD4 Memory
1721,T cell,CD4 Memory
1722,B cell,Memory B
1723,Mono/DC,CD14 Mono
1724,T cell,CD8 Effector_1
1725,Mono/DC,CD14 Mono
1726,Mono/DC,CD14 Mono
1727,Progenitor cells,Prog_RBC
1728,B cell,Memory B
1729,Mono/DC,CD14 Mono
1730,Mono/DC,CD14 Mono
1731,Progenitor cells,GMP
1732,T cell,CD8 Naive
1733,T cell,CD8 Naive
1734,Mono/DC,CD14 Mono
1735,B cell,Plasmablast
1736,T cell,CD4 Memory
1737,T cell,CD8 Naive
1738,Mono/DC,cDC2
1739,B cell,Naive B
1740,T cell,CD4 Memory
1741,T cell,CD4 Memory
1742,T cell,CD4 Naive
1743,Mono/DC,CD14 Mono
1744,T cell,CD8 Naive
1745,Mono/DC,CD14 Mono
1746,Mono/DC,CD14 Mono
1747,T cell,CD4 Naive
1748,T cell,CD8 Memory_2
1749,Progenitor cells,GMP
1750,T cell,CD8 Naive
1751,Mono/DC,CD16 Mono
1752,T cell,CD4 Naive
1753,B cell,Naive B
1754,Mono/DC,CD14 Mono
1755,NK,CD56 bright NK
1756,T cell,CD4 Naive
1757,T cell,CD4 Memory
1758,Progenitor cells,GMP
1759,B cell,Naive B
1760,T cell,CD8 Naive
1761,Mono/DC,CD14 Mono
1762,T cell,Treg
1763,B cell,Memory B
1764,T cell,CD8 Naive
1765,T cell,CD4 Naive
1766,B cell,Naive B
1767,Mono/DC,CD14 Mono
1768,B cell,Naive B
1769,Progenitor cells,LMPP
1770,NK,NK
1771,T cell,CD8 Memory_2
1772,T cell,CD8 Effector_2
1773,B cell,Naive B
1774,T cell,CD4 Memory
1775,Mono/DC,CD14 Mono
1776,T cell,CD8 Effector_1
1777,NK,NK
1778,Mono/DC,CD14 Mono
1779,B cell,Naive B
1780,Progenitor cells,Prog_DC
1781,Progenitor cells,LMPP
1782,Mono/DC,CD14 Mono
1783,T cell,CD4 Memory
1784,T cell,CD4 Naive
1785,Progenitor cells,Prog_RBC
1786,T cell,CD4 Memory
1787,Progenitor cells,Prog_RBC
1788,T cell,CD4 Naive
1789,Progenitor cells,Prog_RBC
1790,T cell,gdT
1791,Mono/DC,CD14 Mono
1792,T cell,CD4 Memory
1793,T cell,CD8 Effector_2
1794,T cell,CD4 Naive
1795,Mono/DC,CD14 Mono
1796,B cell,Memory B
1797,B cell,Memory B
1798,T cell,CD4 Naive
1799,B cell,Naive B
1800,T cell,CD8 Effector_1
1801,NK,NK
1802,Mono/DC,CD14 Mono
1803,T cell,MAIT
1804,T cell,CD4 Naive
1805,T cell,CD8 Naive
1806,T cell,CD4 Naive
1807,T cell,CD4 Naive
1808,Progenitor cells,GMP
1809,Mono/DC,CD14 Mono
1810,T cell,CD8 Effector_2
1811,B cell,Naive B
1812,T cell,CD4 Naive
1813,T cell,CD8 Naive
1814,T cell,CD4 Memory
1815,Progenitor cells,Prog_RBC
1816,T cell,CD8 Naive
1817,T cell,CD8 Naive
1818,B cell,Naive B
1819,T cell,CD8 Naive
1820,Mono/DC,CD14 Mono
1821,T cell,CD4 Naive
1822,NK,NK
1823,T cell,CD8 Memory_1
1824,T cell,CD4 Naive
1825,T cell,CD4 Naive
1826,T cell,CD8 Effector_1
1827,T cell,CD4 Memory
1828,T cell,CD4 Memory
1829,NK,NK
1830,Mono/DC,CD14 Mono
1831,Mono/DC,cDC2
1832,T cell,CD8 Naive
1833,T cell,CD4 Naive
1834,Mono/DC,CD14 Mono
1835,T cell,CD8 Naive
1836,T cell,CD4 Memory
1837,Mono/DC,CD14 Mono
1838,Mono/DC,CD14 Mono
1839,Progenitor cells,Prog_Mk
1840,T cell,CD4 Memory
1841,T cell,MAIT
1842,T cell,MAIT
1843,B cell,Naive B
1844,T cell,CD4 Naive
1845,T cell,CD4 Memory
1846,Progenitor cells,Prog_RBC
1847,T cell,CD4 Naive
1848,T cell,CD4 Naive
1849,T cell,CD8 Naive
1850,Progenitor cells,Prog_RBC
1851,Mono/DC,CD14 Mono
1852,T cell,CD8 Effector_1
1853,T cell,CD8 Naive
1854,NK,NK
1855,T cell,CD8 Naive
1856,T cell,CD8 Naive
1857,T cell,CD8 Memory_2
1858,T cell,CD8 Memory_2
1859,Progenitor cells,HSC
1860,Mono/DC,CD14 Mono
1861,Mono/DC,CD16 Mono
1862,T cell,CD4 Naive
1863,T cell,CD4 Naive
1864,B cell,Naive B
1865,Progenitor cells,GMP
1866,T cell,CD8 Naive
1867,B cell,Naive B
1868,Mono/DC,CD14 Mono
1869,T cell,CD4 Naive
1870,Progenitor cells,Prog_RBC
1871,Mono/DC,CD16 Mono
1872,Progenitor cells,Prog_Mk
1873,T cell,gdT
1874,B cell,Naive B
1875,T cell,CD8 Memory_2
1876,T cell,CD8 Naive
