Index,cell_type,cell_type_02
1013,CD8,CD8_target
1014,Monocytes,Monocytes_target
1015,CD4,CD4_target
1016,CD4,CD4_target
1017,B Cells,B Cells_target
1018,Monocytes,Monocytes_target
1019,CD8,CD8_target
1020,CD8,CD8_target
1021,CD4,CD4_target
1022,CD8,CD8_target
1023,CD4,CD4_target
1024,Monocytes,Monocytes_target
1025,CD4,CD4_target
1026,Monocytes,Monocytes_target
1027,Monocytes,Monocytes_target
1028,CD4,CD4_target
1029,CD4,CD4_target
1030,CD4,CD4_target
1031,CD8,CD8_target
1032,Monocytes,Monocytes_target
1033,Monocytes,Monocytes_target
1034,CD4,CD4_target
1035,CD4,CD4_target
1036,CD4,CD4_target
1037,NK,NK_target
1038,Monocytes,Monocytes_target
1039,B Cells,B Cells_target
1040,CD4,CD4_target
1041,Monocytes,Monocytes_target
1042,Monocytes,Monocytes_target
1043,Monocytes,Monocytes_target
1044,Monocytes,Monocytes_target
1045,CD4,CD4_target
1046,CD4,CD4_target
1047,Monocytes,Monocytes_target
1048,Monocytes,Monocytes_target
1049,CD4,CD4_target
1050,CD8,CD8_target
1051,Monocytes,Monocytes_target
1052,CD8,CD8_target
1053,CD8,CD8_target
1054,Monocytes,Monocytes_target
1055,Monocytes,Monocytes_target
1056,CD4,CD4_target
1057,CD4,CD4_target
1058,CD8,CD8_target
1059,Monocytes,Monocytes_target
1060,CD4,CD4_target
1061,Monocytes,Monocytes_target
1062,CD4,CD4_target
1063,CD4,CD4_target
1064,CD4,CD4_target
1065,Monocytes,Monocytes_target
1066,CD8,CD8_target
1067,Monocytes,Monocytes_target
1068,CD4,CD4_target
1069,B Cells,B Cells_target
1070,CD8,CD8_target
1071,Monocytes,Monocytes_target
1072,CD8,CD8_target
1073,CD4,CD4_target
1074,CD4,CD4_target
1075,CD8,CD8_target
1076,CD8,CD8_target
1077,Monocytes,Monocytes_target
1078,CD4,CD4_target
1079,CD4,CD4_target
1080,CD4,CD4_target
1081,CD4,CD4_target
1082,Monocytes,Monocytes_target
1083,Dendritic Cells,Dendritic Cells_target
1084,NK,NK_target
1085,B Cells,B Cells_target
1086,CD8,CD8_target
1087,Monocytes,Monocytes_target
1088,CD8,CD8_target
1089,MAIT,MAIT_target
1090,Monocytes,Monocytes_target
1091,CD8,CD8_target
1092,Monocytes,Monocytes_target
1093,NK,NK_target
1094,Monocytes,Monocytes_target
1095,CD4,CD4_target
1096,NK,NK_target
1097,Monocytes,Monocytes_target
1098,CD8,CD8_target
1099,Monocytes,Monocytes_target
1100,CD8,CD8_target
1101,CD8,CD8_target
1102,Monocytes,Monocytes_target
1103,Monocytes,Monocytes_target
1104,CD8,CD8_target
1105,B Cells,B Cells_target
1106,CD4,CD4_target
1107,CD4,CD4_target
1108,Monocytes,Monocytes_target
1109,Monocytes,Monocytes_target
1110,B Cells,B Cells_target
1111,Monocytes,Monocytes_target
1112,CD4,CD4_target
1113,CD4,CD4_target
1114,CD8,CD8_target
1115,B Cells,B Cells_target
1116,Monocytes,Monocytes_target
1117,NK,NK_target
1118,CD8,CD8_target
1119,B Cells,B Cells_target
1120,CD8,CD8_target
1121,B Cells,B Cells_target
1122,CD4,CD4_target
1123,CD8,CD8_target
1124,B Cells,B Cells_target
1125,Monocytes,Monocytes_target
1126,CD8,CD8_target
1127,CD8,CD8_target
1128,Monocytes,Monocytes_target
1129,Dendritic Cells,Dendritic Cells_target
1130,Monocytes,Monocytes_target
1131,Monocytes,Monocytes_target
1132,CD4,CD4_target
1133,CD4,CD4_target
1134,CD4,CD4_target
1135,NK,NK_target
1136,CD4,CD4_target
1137,CD8,CD8_target
1138,CD8,CD8_target
1139,B Cells,B Cells_target
1140,Monocytes,Monocytes_target
1141,Monocytes,Monocytes_target
1142,CD8,CD8_target
1143,Monocytes,Monocytes_target
1144,CD4,CD4_target
1145,B Cells,B Cells_target
1146,CD8,CD8_target
1147,Monocytes,Monocytes_target
1148,Monocytes,Monocytes_target
1149,CD4,CD4_target
1150,CD8,CD8_target
1151,CD4,CD4_target
1152,CD4,CD4_target
1153,CD8,CD8_target
1154,MAIT,MAIT_target
1155,Monocytes,Monocytes_target
1156,Monocytes,Monocytes_target
1157,Monocytes,Monocytes_target
1158,CD8,CD8_target
1159,Monocytes,Monocytes_target
1160,CD8,CD8_target
1161,CD4,CD4_target
1162,CD8,CD8_target
1163,CD4,CD4_target
1164,CD4,CD4_target
1165,CD8,CD8_target
1166,Monocytes,Monocytes_target
1167,Monocytes,Monocytes_target
1168,Monocytes,Monocytes_target
1169,Monocytes,Monocytes_target
1170,CD4,CD4_target
1171,CD4,CD4_target
1172,B Cells,B Cells_target
1173,CD8,CD8_target
1174,CD4,CD4_target
1175,Monocytes,Monocytes_target
1176,CD4,CD4_target
1177,B Cells,B Cells_target
1178,B Cells,B Cells_target
1179,B Cells,B Cells_target
1180,CD8,CD8_target
1181,Monocytes,Monocytes_target
1182,Monocytes,Monocytes_target
1183,Monocytes,Monocytes_target
1184,Monocytes,Monocytes_target
1185,MAIT,MAIT_target
1186,CD8,CD8_target
1187,CD4,CD4_target
1188,Monocytes,Monocytes_target
1189,CD8,CD8_target
1190,MAIT,MAIT_target
1191,CD8,CD8_target
1192,CD8,CD8_target
1193,CD4,CD4_target
1194,NK,NK_target
1195,Dendritic Cells,Dendritic Cells_target
1196,CD4,CD4_target
1197,CD4,CD4_target
1198,CD4,CD4_target
1199,CD4,CD4_target
1200,Monocytes,Monocytes_target
1201,CD8,CD8_target
1202,NK,NK_target
1203,CD8,CD8_target
1204,Monocytes,Monocytes_target
1205,CD4,CD4_target
1206,CD4,CD4_target
1207,Monocytes,Monocytes_target
1208,CD8,CD8_target
1209,Monocytes,Monocytes_target
1210,CD8,CD8_target
1211,CD8,CD8_target
1212,Monocytes,Monocytes_target
1213,CD8,CD8_target
1214,Monocytes,Monocytes_target
1215,CD8,CD8_target
1216,Monocytes,Monocytes_target
1217,CD8,CD8_target
1218,CD4,CD4_target
1219,NK,NK_target
1220,Monocytes,Monocytes_target
1221,CD8,CD8_target
1222,CD4,CD4_target
1223,CD4,CD4_target
1224,Monocytes,Monocytes_target
1225,B Cells,B Cells_target
1226,CD4,CD4_target
1227,Dendritic Cells,Dendritic Cells_target
1228,CD8,CD8_target
1229,CD8,CD8_target
1230,Monocytes,Monocytes_target
1231,Monocytes,Monocytes_target
1232,CD4,CD4_target
1233,Monocytes,Monocytes_target
1234,CD4,CD4_target
1235,B Cells,B Cells_target
1236,CD8,CD8_target
1237,Monocytes,Monocytes_target
1238,Monocytes,Monocytes_target
1239,NK,NK_target
1240,CD4,CD4_target
1241,Monocytes,Monocytes_target
1242,Monocytes,Monocytes_target
1243,CD8,CD8_target
1244,CD4,CD4_target
1245,CD4,CD4_target
1246,B Cells,B Cells_target
1247,CD8,CD8_target
1248,B Cells,B Cells_target
1249,CD8,CD8_target
1250,CD4,CD4_target
1251,CD4,CD4_target
1252,Monocytes,Monocytes_target
1253,Monocytes,Monocytes_target
1254,Monocytes,Monocytes_target
1255,Monocytes,Monocytes_target
1256,Monocytes,Monocytes_target
1257,CD4,CD4_target
1258,Monocytes,Monocytes_target
1259,CD8,CD8_target
1260,CD8,CD8_target
1261,Dendritic Cells,Dendritic Cells_target
1262,Monocytes,Monocytes_target
1263,CD4,CD4_target
1264,CD8,CD8_target
1265,CD4,CD4_target
1266,Monocytes,Monocytes_target
1267,Monocytes,Monocytes_target
1268,CD8,CD8_target
1269,Monocytes,Monocytes_target
1270,CD4,CD4_target
1271,CD4,CD4_target
1272,Dendritic Cells,Dendritic Cells_target
1273,CD4,CD4_target
1274,B Cells,B Cells_target
1275,NK,NK_target
1276,CD4,CD4_target
1277,CD8,CD8_target
1278,B Cells,B Cells_target
1279,CD4,CD4_target
1280,Monocytes,Monocytes_target
1281,CD4,CD4_target
1282,CD4,CD4_target
1283,Monocytes,Monocytes_target
1284,CD4,CD4_target
1285,HSPC,HSPC_target
1286,Monocytes,Monocytes_target
1287,CD8,CD8_target
1288,CD4,CD4_target
1289,Dendritic Cells,Dendritic Cells_target
1290,CD4,CD4_target
1291,CD4,CD4_target
1292,CD4,CD4_target
1293,CD4,CD4_target
1294,CD4,CD4_target
1295,Monocytes,Monocytes_target
1296,CD8,CD8_target
1297,CD4,CD4_target
1298,CD8,CD8_target
1299,MAIT,MAIT_target
1300,B Cells,B Cells_target
1301,CD4,CD4_target
1302,CD8,CD8_target
1303,CD4,CD4_target
1304,CD4,CD4_target
1305,Monocytes,Monocytes_target
1306,Dendritic Cells,Dendritic Cells_target
1307,CD4,CD4_target
1308,CD8,CD8_target
1309,CD4,CD4_target
1310,Monocytes,Monocytes_target
1311,Monocytes,Monocytes_target
1312,Monocytes,Monocytes_target
1313,Monocytes,Monocytes_target
1314,CD8,CD8_target
1315,CD4,CD4_target
1316,CD8,CD8_target
1317,CD4,CD4_target
1318,CD4,CD4_target
1319,CD4,CD4_target
1320,CD4,CD4_target
1321,CD8,CD8_target
1322,CD4,CD4_target
1323,B Cells,B Cells_target
1324,CD8,CD8_target
1325,Monocytes,Monocytes_target
1326,Monocytes,Monocytes_target
1327,CD4,CD4_target
1328,Monocytes,Monocytes_target
1329,CD8,CD8_target
1330,CD4,CD4_target
1331,Dendritic Cells,Dendritic Cells_target
1332,CD4,CD4_target
1333,Monocytes,Monocytes_target
1334,Dendritic Cells,Dendritic Cells_target
1335,B Cells,B Cells_target
1336,Monocytes,Monocytes_target
1337,Dendritic Cells,Dendritic Cells_target
1338,Monocytes,Monocytes_target
1339,CD4,CD4_target
1340,Monocytes,Monocytes_target
1341,CD8,CD8_target
1342,Monocytes,Monocytes_target
1343,Monocytes,Monocytes_target
1344,CD8,CD8_target
1345,CD4,CD4_target
1346,Monocytes,Monocytes_target
1347,CD4,CD4_target
1348,Monocytes,Monocytes_target
1349,Monocytes,Monocytes_target
1350,CD4,CD4_target
1351,CD4,CD4_target
1352,Monocytes,Monocytes_target
1353,B Cells,B Cells_target
1354,CD4,CD4_target
1355,Monocytes,Monocytes_target
1356,Monocytes,Monocytes_target
1357,CD4,CD4_target
1358,CD4,CD4_target
1359,CD4,CD4_target
1360,CD8,CD8_target
1361,CD8,CD8_target
1362,Dendritic Cells,Dendritic Cells_target
1363,CD4,CD4_target
1364,CD4,CD4_target
1365,Monocytes,Monocytes_target
1366,Monocytes,Monocytes_target
1367,CD8,CD8_target
1368,NK,NK_target
1369,Monocytes,Monocytes_target
1370,CD8,CD8_target
1371,CD8,CD8_target
1372,Monocytes,Monocytes_target
1373,B Cells,B Cells_target
1374,B Cells,B Cells_target
1375,NK,NK_target
1376,CD4,CD4_target
1377,Monocytes,Monocytes_target
1378,CD8,CD8_target
1379,B Cells,B Cells_target
1380,Monocytes,Monocytes_target
1381,Monocytes,Monocytes_target
1382,CD4,CD4_target
1383,CD4,CD4_target
1384,NK,NK_target
1385,CD8,CD8_target
1386,CD4,CD4_target
1387,Monocytes,Monocytes_target
1388,CD4,CD4_target
1389,Dendritic Cells,Dendritic Cells_target
1390,CD8,CD8_target
1391,CD8,CD8_target
1392,B Cells,B Cells_target
1393,CD8,CD8_target
1394,CD8,CD8_target
1395,CD8,CD8_target
1396,CD8,CD8_target
1397,Monocytes,Monocytes_target
1398,CD4,CD4_target
1399,Monocytes,Monocytes_target
1400,CD8,CD8_target
1401,Dendritic Cells,Dendritic Cells_target
1402,Monocytes,Monocytes_target
1403,CD8,CD8_target
1404,Monocytes,Monocytes_target
1405,CD4,CD4_target
1406,CD4,CD4_target
1407,CD8,CD8_target
1408,CD8,CD8_target
1409,Monocytes,Monocytes_target
1410,CD4,CD4_target
1411,Monocytes,Monocytes_target
1412,CD4,CD4_target
1413,CD4,CD4_target
1414,Monocytes,Monocytes_target
1415,CD4,CD4_target
1416,CD4,CD4_target
1417,NK,NK_target
1418,CD4,CD4_target
1419,Monocytes,Monocytes_target
1420,Monocytes,Monocytes_target
1421,Dendritic Cells,Dendritic Cells_target
1422,Monocytes,Monocytes_target
1423,Monocytes,Monocytes_target
1424,CD4,CD4_target
1425,CD4,CD4_target
1426,Monocytes,Monocytes_target
1427,CD4,CD4_target
1428,CD4,CD4_target
1429,MAIT,MAIT_target
1430,CD8,CD8_target
1431,CD4,CD4_target
1432,CD8,CD8_target
1433,CD4,CD4_target
1434,Monocytes,Monocytes_target
1435,Monocytes,Monocytes_target
1436,CD8,CD8_target
1437,CD4,CD4_target
1438,Monocytes,Monocytes_target
1439,CD4,CD4_target
1440,CD4,CD4_target
1441,CD8,CD8_target
1442,CD8,CD8_target
1443,CD4,CD4_target
1444,CD4,CD4_target
1445,MAIT,MAIT_target
1446,Monocytes,Monocytes_target
1447,CD4,CD4_target
1448,CD4,CD4_target
1449,Monocytes,Monocytes_target
1450,CD8,CD8_target
1451,CD4,CD4_target
1452,CD4,CD4_target
1453,MAIT,MAIT_target
1454,Dendritic Cells,Dendritic Cells_target
1455,CD8,CD8_target
1456,CD4,CD4_target
1457,Monocytes,Monocytes_target
1458,CD4,CD4_target
1459,Dendritic Cells,Dendritic Cells_target
1460,Monocytes,Monocytes_target
1461,CD8,CD8_target
1462,Monocytes,Monocytes_target
1463,Monocytes,Monocytes_target
1464,Monocytes,Monocytes_target
1465,CD8,CD8_target
1466,B Cells,B Cells_target
1467,CD8,CD8_target
1468,Monocytes,Monocytes_target
1469,CD4,CD4_target
1470,CD4,CD4_target
1471,CD4,CD4_target
1472,Monocytes,Monocytes_target
1473,B Cells,B Cells_target
1474,B Cells,B Cells_target
1475,CD4,CD4_target
1476,CD8,CD8_target
1477,CD8,CD8_target
1478,Dendritic Cells,Dendritic Cells_target
1479,CD8,CD8_target
1480,Monocytes,Monocytes_target
1481,Monocytes,Monocytes_target
1482,CD4,CD4_target
1483,CD4,CD4_target
1484,HSPC,HSPC_target
1485,B Cells,B Cells_target
1486,CD8,CD8_target
1487,CD8,CD8_target
1488,Monocytes,Monocytes_target
1489,CD4,CD4_target
1490,Monocytes,Monocytes_target
1491,CD4,CD4_target
1492,MAIT,MAIT_target
1493,CD4,CD4_target
1494,CD4,CD4_target
1495,B Cells,B Cells_target
1496,CD8,CD8_target
1497,Monocytes,Monocytes_target
1498,CD4,CD4_target
1499,Monocytes,Monocytes_target
1500,CD4,CD4_target
1501,CD4,CD4_target
1502,CD4,CD4_target
1503,CD4,CD4_target
1504,CD4,CD4_target
1505,Monocytes,Monocytes_target
1506,Monocytes,Monocytes_target
1507,CD8,CD8_target
1508,Monocytes,Monocytes_target
1509,Monocytes,Monocytes_target
1510,CD4,CD4_target
1511,CD4,CD4_target
1512,CD4,CD4_target
1513,Monocytes,Monocytes_target
1514,CD4,CD4_target
1515,CD8,CD8_target
1516,Monocytes,Monocytes_target
1517,CD4,CD4_target
1518,CD4,CD4_target
1519,NK,NK_target
1520,CD8,CD8_target
1521,Monocytes,Monocytes_target
1522,CD4,CD4_target
1523,CD4,CD4_target
1524,CD4,CD4_target
1525,Monocytes,Monocytes_target
1526,CD4,CD4_target
1527,CD8,CD8_target
1528,NK,NK_target
1529,Monocytes,Monocytes_target
1530,Monocytes,Monocytes_target
1531,CD4,CD4_target
1532,Dendritic Cells,Dendritic Cells_target
1533,CD4,CD4_target
1534,Monocytes,Monocytes_target
1535,Monocytes,Monocytes_target
1536,Monocytes,Monocytes_target
1537,CD8,CD8_target
1538,NK,NK_target
1539,Monocytes,Monocytes_target
1540,Monocytes,Monocytes_target
1541,Monocytes,Monocytes_target
1542,Dendritic Cells,Dendritic Cells_target
1543,Monocytes,Monocytes_target
1544,Monocytes,Monocytes_target
1545,CD4,CD4_target
1546,CD4,CD4_target
1547,B Cells,B Cells_target
1548,CD8,CD8_target
1549,CD4,CD4_target
1550,B Cells,B Cells_target
1551,CD4,CD4_target
1552,CD4,CD4_target
1553,CD4,CD4_target
1554,CD8,CD8_target
1555,CD8,CD8_target
1556,CD8,CD8_target
1557,CD4,CD4_target
1558,Dendritic Cells,Dendritic Cells_target
1559,CD4,CD4_target
1560,CD4,CD4_target
1561,Monocytes,Monocytes_target
1562,CD4,CD4_target
1563,Monocytes,Monocytes_target
1564,Monocytes,Monocytes_target
1565,CD8,CD8_target
1566,Dendritic Cells,Dendritic Cells_target
1567,CD4,CD4_target
1568,CD4,CD4_target
1569,CD4,CD4_target
1570,CD4,CD4_target
1571,B Cells,B Cells_target
1572,Monocytes,Monocytes_target
1573,Monocytes,Monocytes_target
1574,CD8,CD8_target
1575,Dendritic Cells,Dendritic Cells_target
1576,CD8,CD8_target
1577,B Cells,B Cells_target
1578,CD4,CD4_target
1579,CD8,CD8_target
1580,CD8,CD8_target
1581,NK,NK_target
1582,CD4,CD4_target
1583,Monocytes,Monocytes_target
1584,Monocytes,Monocytes_target
1585,CD8,CD8_target
1586,CD8,CD8_target
1587,CD4,CD4_target
1588,B Cells,B Cells_target
1589,B Cells,B Cells_target
1590,B Cells,B Cells_target
1591,CD8,CD8_target
1592,CD4,CD4_target
1593,Monocytes,Monocytes_target
1594,Monocytes,Monocytes_target
1595,Monocytes,Monocytes_target
1596,Monocytes,Monocytes_target
1597,B Cells,B Cells_target
1598,CD8,CD8_target
1599,NK,NK_target
1600,CD4,CD4_target
1601,CD4,CD4_target
1602,Monocytes,Monocytes_target
1603,CD8,CD8_target
1604,NK,NK_target
1605,CD4,CD4_target
1606,Monocytes,Monocytes_target
1607,CD4,CD4_target
1608,CD4,CD4_target
1609,Monocytes,Monocytes_target
1610,Monocytes,Monocytes_target
1611,CD8,CD8_target
1612,Monocytes,Monocytes_target
1613,CD8,CD8_target
1614,Monocytes,Monocytes_target
1615,CD4,CD4_target
1616,Dendritic Cells,Dendritic Cells_target
1617,Monocytes,Monocytes_target
1618,CD4,CD4_target
1619,Monocytes,Monocytes_target
1620,CD8,CD8_target
1621,CD8,CD8_target
1622,CD4,CD4_target
1623,CD4,CD4_target
1624,CD4,CD4_target
1625,B Cells,B Cells_target
1626,Monocytes,Monocytes_target
1627,Monocytes,Monocytes_target
1628,Monocytes,Monocytes_target
1629,NK,NK_target
1630,Dendritic Cells,Dendritic Cells_target
1631,CD8,CD8_target
1632,CD4,CD4_target
1633,CD4,CD4_target
1634,CD4,CD4_target
1635,B Cells,B Cells_target
1636,Monocytes,Monocytes_target
1637,CD4,CD4_target
1638,CD4,CD4_target
1639,Monocytes,Monocytes_target
1640,Monocytes,Monocytes_target
1641,CD8,CD8_target
1642,Monocytes,Monocytes_target
1643,CD4,CD4_target
1644,CD4,CD4_target
1645,CD4,CD4_target
1646,Monocytes,Monocytes_target
1647,Dendritic Cells,Dendritic Cells_target
1648,B Cells,B Cells_target
1649,Monocytes,Monocytes_target
1650,CD8,CD8_target
1651,CD4,CD4_target
1652,NK,NK_target
1653,Monocytes,Monocytes_target
1654,NK,NK_target
1655,CD4,CD4_target
1656,MAIT,MAIT_target
1657,CD4,CD4_target
1658,CD8,CD8_target
1659,MAIT,MAIT_target
1660,CD8,CD8_target
1661,CD4,CD4_target
1662,CD4,CD4_target
1663,CD4,CD4_target
1664,CD4,CD4_target
1665,Monocytes,Monocytes_target
1666,Dendritic Cells,Dendritic Cells_target
1667,Dendritic Cells,Dendritic Cells_target
1668,Monocytes,Monocytes_target
1669,Monocytes,Monocytes_target
1670,Monocytes,Monocytes_target
1671,CD4,CD4_target
1672,CD4,CD4_target
1673,CD8,CD8_target
1674,Monocytes,Monocytes_target
1675,Monocytes,Monocytes_target
1676,CD4,CD4_target
1677,CD4,CD4_target
1678,CD8,CD8_target
1679,CD4,CD4_target
1680,Dendritic Cells,Dendritic Cells_target
1681,Monocytes,Monocytes_target
1682,CD4,CD4_target
1683,CD4,CD4_target
1684,CD4,CD4_target
1685,B Cells,B Cells_target
1686,Monocytes,Monocytes_target
1687,CD4,CD4_target
1688,CD8,CD8_target
1689,CD4,CD4_target
1690,CD8,CD8_target
1691,Monocytes,Monocytes_target
1692,Monocytes,Monocytes_target
1693,Monocytes,Monocytes_target
1694,CD8,CD8_target
1695,CD4,CD4_target
1696,Monocytes,Monocytes_target
1697,Monocytes,Monocytes_target
1698,Monocytes,Monocytes_target
1699,NK,NK_target
1700,Monocytes,Monocytes_target
1701,Monocytes,Monocytes_target
1702,CD8,CD8_target
1703,Dendritic Cells,Dendritic Cells_target
1704,Monocytes,Monocytes_target
1705,Monocytes,Monocytes_target
1706,Monocytes,Monocytes_target
1707,CD4,CD4_target
1708,CD4,CD4_target
1709,Monocytes,Monocytes_target
1710,B Cells,B Cells_target
1711,Monocytes,Monocytes_target
1712,CD4,CD4_target
1713,CD4,CD4_target
1714,NK,NK_target
1715,Dendritic Cells,Dendritic Cells_target
1716,Monocytes,Monocytes_target
1717,CD4,CD4_target
1718,CD4,CD4_target
1719,Monocytes,Monocytes_target
1720,CD4,CD4_target
1721,Monocytes,Monocytes_target
1722,CD8,CD8_target
1723,CD4,CD4_target
1724,CD4,CD4_target
1725,CD8,CD8_target
1726,CD4,CD4_target
1727,Monocytes,Monocytes_target
1728,CD4,CD4_target
1729,CD8,CD8_target
1730,CD8,CD8_target
1731,Monocytes,Monocytes_target
1732,Monocytes,Monocytes_target
1733,Monocytes,Monocytes_target
1734,Monocytes,Monocytes_target
1735,CD8,CD8_target
1736,Monocytes,Monocytes_target
1737,Monocytes,Monocytes_target
1738,CD4,CD4_target
1739,CD8,CD8_target
1740,Dendritic Cells,Dendritic Cells_target
1741,CD8,CD8_target
1742,B Cells,B Cells_target
1743,Monocytes,Monocytes_target
1744,CD4,CD4_target
1745,CD4,CD4_target
1746,CD4,CD4_target
1747,CD4,CD4_target
1748,Monocytes,Monocytes_target
1749,Monocytes,Monocytes_target
